iter	Passed	Remaining
0	52	52268
1	53	26490
2	53	17887
3	54	13567
4	55	10986
5	55	9272
6	56	8040
7	57	7116
8	58	6408
9	58	5830
10	60	5406
11	61	5036
12	61	4691
13	62	4398
14	63	4143
15	63	3925
16	64	3725
17	65	3550
18	65	3400
19	66	3259
20	67	3131
21	67	3014
22	68	2909
23	69	2814
24	69	2726
25	70	2650
26	71	2580
27	72	2514
28	73	2461
29	74	2413
30	75	2368
31	76	2318
32	77	2267
33	78	2224
34	79	2182
35	79	2140
36	80	2100
37	81	2059
38	82	2022
39	82	1988
40	83	1957
41	84	1926
42	85	1899
43	86	1870
44	86	1840
45	87	1813
46	88	1787
47	88	1763
48	89	1738
49	90	1716
50	91	1694
51	91	1675
52	92	1658
53	93	1638
54	94	1619
55	95	1601
56	95	1586
57	96	1570
58	97	1556
59	98	1539
60	99	1525
61	99	1509
62	100	1495
63	101	1483
64	102	1468
65	102	1456
66	103	1442
67	104	1429
68	104	1416
69	105	1404
70	106	1395
71	107	1384
72	108	1374
73	108	1363
74	109	1354
75	110	1346
76	111	1342
77	112	1332
78	113	1322
79	114	1313
80	114	1303
81	115	1293
82	115	1280
83	116	1271
84	117	1262
85	118	1254
86	118	1245
87	119	1236
88	119	1226
89	120	1217
90	121	1209
91	121	1201
92	122	1193
93	123	1186
94	123	1177
95	124	1169
96	124	1161
97	125	1153
98	125	1145
99	126	1139
100	127	1132
101	127	1125
102	128	1119
103	129	1112
104	129	1105
105	130	1100
106	131	1094
107	131	1088
108	132	1082
109	132	1076
110	133	1069
111	134	1063
112	134	1057
113	135	1051
114	135	1045
115	136	1039
116	136	1032
117	137	1027
118	138	1021
119	138	1016
120	139	1011
121	139	1004
122	140	999
123	140	994
124	141	989
125	141	984
126	142	978
127	142	973
128	143	969
129	144	964
130	144	960
131	145	956
132	145	951
133	146	946
134	147	942
135	147	937
136	148	933
137	148	929
138	149	925
139	149	921
140	150	917
141	150	912
142	151	908
143	152	905
144	152	901
145	153	897
146	154	894
147	154	890
148	155	886
149	155	882
150	156	878
151	156	874
152	157	871
153	158	868
154	158	863
155	159	860
156	159	857
157	160	854
158	160	851
159	161	847
160	161	843
161	162	839
162	162	836
163	163	833
164	163	829
165	164	826
166	164	822
167	165	819
168	165	816
169	166	813
170	166	809
171	167	806
172	167	802
173	168	799
174	168	795
175	169	792
176	169	789
177	170	786
178	170	783
179	171	780
180	171	777
181	172	774
182	172	771
183	173	768
184	173	765
185	174	762
186	174	759
187	175	757
188	175	754
189	176	751
190	176	748
191	177	745
192	177	742
193	178	739
194	178	737
195	179	734
196	179	731
197	180	729
198	180	726
199	181	724
200	181	722
201	182	719
202	182	716
203	182	713
204	183	711
205	183	708
206	184	705
207	184	703
208	185	700
209	185	698
210	186	695
211	186	693
212	187	691
213	187	688
214	187	686
215	188	683
216	188	681
217	189	679
218	189	676
219	190	674
220	190	672
221	191	669
222	191	667
223	191	665
224	192	662
225	192	660
226	193	657
227	193	655
228	194	653
229	194	651
230	195	649
231	195	647
232	196	645
233	196	643
234	196	640
235	197	638
236	197	636
237	198	634
238	198	632
239	199	630
240	199	628
241	200	626
242	200	624
243	200	622
244	201	620
245	201	618
246	202	616
247	202	614
248	203	613
249	203	611
250	204	609
251	204	607
252	205	605
253	205	603
254	205	601
255	206	599
256	206	597
257	207	596
258	207	594
259	208	592
260	208	590
261	209	589
262	209	587
263	210	586
264	210	584
265	211	582
266	211	580
267	211	578
268	212	577
269	212	575
270	213	573
271	213	571
272	214	570
273	214	568
274	215	567
275	215	565
276	215	563
277	216	561
278	216	560
279	217	558
280	217	557
281	218	556
282	218	554
283	219	552
284	219	551
285	220	549
286	220	548
287	221	546
288	221	545
289	221	543
290	222	541
291	222	540
292	223	538
293	223	537
294	224	535
295	224	534
296	225	533
297	225	531
298	226	530
299	226	528
300	227	527
301	227	525
302	227	524
303	228	522
304	228	521
305	229	519
306	229	518
307	230	516
308	230	515
309	230	514
310	231	512
311	231	511
312	232	509
313	232	508
314	233	507
315	233	505
316	234	504
317	234	502
318	234	501
319	235	500
320	235	498
321	236	497
322	236	495
323	237	494
324	237	493
325	238	492
326	238	491
327	239	490
328	239	489
329	240	488
330	240	486
331	241	485
332	241	484
333	242	483
334	242	482
335	243	481
336	243	479
337	244	478
338	245	477
339	245	476
340	245	475
341	246	474
342	247	473
343	247	472
344	248	470
345	248	469
346	248	468
347	249	467
348	249	466
349	250	465
350	250	463
351	251	462
352	251	461
353	252	460
354	252	459
355	253	458
356	253	457
357	254	456
358	254	455
359	255	454
360	256	453
361	256	452
362	257	451
363	257	450
364	258	448
365	258	447
366	258	446
367	259	445
368	259	444
369	260	443
370	260	442
371	261	441
372	261	440
373	262	439
374	262	438
375	263	437
376	263	435
377	264	434
378	264	433
379	265	432
380	265	431
381	266	430
382	266	429
383	266	428
384	267	427
385	268	426
386	268	425
387	268	424
388	269	423
389	269	422
390	270	421
391	270	419
392	271	418
393	271	417
394	272	416
395	272	415
396	272	414
397	273	413
398	273	412
399	274	411
400	274	410
401	275	409
402	275	408
403	276	407
404	276	406
405	277	405
406	277	404
407	278	403
408	278	402
409	278	401
410	279	400
411	279	399
412	280	398
413	280	397
414	281	396
415	281	395
416	282	394
417	282	393
418	283	392
419	283	391
420	283	390
421	284	389
422	284	388
423	285	387
424	285	386
425	286	385
426	286	384
427	286	383
428	287	382
429	287	381
430	288	380
431	288	379
432	288	378
433	289	377
434	289	376
435	290	375
436	290	374
437	291	373
438	291	372
439	292	371
440	292	371
441	293	370
442	293	369
443	294	368
444	294	367
445	294	366
446	295	365
447	295	364
448	296	363
449	296	362
450	297	361
451	297	361
452	298	360
453	298	359
454	299	358
455	299	357
456	300	356
457	300	355
458	301	354
459	301	353
460	301	352
461	302	352
462	302	351
463	303	350
464	303	349
465	304	348
466	304	347
467	305	346
468	305	346
469	306	345
470	306	344
471	307	343
472	307	342
473	308	341
474	308	340
475	308	339
476	309	339
477	309	338
478	310	337
479	310	336
480	311	335
481	311	334
482	312	334
483	312	333
484	312	332
485	313	331
486	313	330
487	314	329
488	314	328
489	315	328
490	315	327
491	316	326
492	316	325
493	316	324
494	317	323
495	317	322
496	318	322
497	318	321
498	319	320
499	319	319
500	319	318
501	320	317
502	320	317
503	321	316
504	321	315
505	322	314
506	322	313
507	323	312
508	323	312
509	323	311
510	324	310
511	325	309
512	325	309
513	326	308
514	326	307
515	327	307
516	327	306
517	328	305
518	328	304
519	329	303
520	329	303
521	330	302
522	330	301
523	331	300
524	331	299
525	332	299
526	332	298
527	332	297
528	333	296
529	333	296
530	334	295
531	334	294
532	335	293
533	335	293
534	336	292
535	336	291
536	337	290
537	337	289
538	338	289
539	338	288
540	339	287
541	339	286
542	340	286
543	340	285
544	341	284
545	341	284
546	342	283
547	342	282
548	343	282
549	343	281
550	344	280
551	344	279
552	345	279
553	345	278
554	346	277
555	346	276
556	347	276
557	347	275
558	348	274
559	348	273
560	349	273
561	349	272
562	350	271
563	350	271
564	351	270
565	351	269
566	352	268
567	352	268
568	353	267
569	353	266
570	353	265
571	354	265
572	354	264
573	355	263
574	355	263
575	356	262
576	356	261
577	357	260
578	357	260
579	358	259
580	358	258
581	359	257
582	359	257
583	360	256
584	360	255
585	360	254
586	361	254
587	361	253
588	362	252
589	362	252
590	363	251
591	363	250
592	364	249
593	364	249
594	365	248
595	365	247
596	365	246
597	366	246
598	366	245
599	367	244
600	367	244
601	368	243
602	368	242
603	369	242
604	369	241
605	370	240
606	370	240
607	371	239
608	371	238
609	372	238
610	372	237
611	373	236
612	373	235
613	374	235
614	374	234
615	375	233
616	375	233
617	375	232
618	376	231
619	376	230
620	377	230
621	377	229
622	378	228
623	378	228
624	379	227
625	379	226
626	379	226
627	380	225
628	380	224
629	381	223
630	381	223
631	382	222
632	382	221
633	383	221
634	383	220
635	384	219
636	384	219
637	385	218
638	385	217
639	385	217
640	386	216
641	386	215
642	387	215
643	388	214
644	388	213
645	389	213
646	389	212
647	389	211
648	390	211
649	390	210
650	391	209
651	391	209
652	392	208
653	392	207
654	393	207
655	393	206
656	394	205
657	394	205
658	395	204
659	395	203
660	396	203
661	396	202
662	397	201
663	397	201
664	398	200
665	398	199
666	399	199
667	399	198
668	400	197
669	400	197
670	401	196
671	401	196
672	402	195
673	404	195
674	406	195
675	407	195
676	409	195
677	410	195
678	412	194
679	413	194
680	415	194
681	416	194
682	417	193
683	418	193
684	418	192
685	419	191
686	419	191
687	420	190
688	420	189
689	421	189
690	421	188
691	422	188
692	422	187
693	423	186
694	423	186
695	424	185
696	424	184
697	425	184
698	425	183
699	426	182
700	426	182
701	427	181
702	427	180
703	428	180
704	428	179
705	429	178
706	429	178
707	430	177
708	430	176
709	431	176
710	431	175
711	432	174
712	432	174
713	433	173
714	434	173
715	434	172
716	435	171
717	435	171
718	436	170
719	436	169
720	437	169
721	437	168
722	438	167
723	438	167
724	439	166
725	439	166
726	440	165
727	440	164
728	441	164
729	441	163
730	442	162
731	442	162
732	443	161
733	443	160
734	444	160
735	444	159
736	445	158
737	445	158
738	445	157
739	446	156
740	446	156
741	447	155
742	447	154
743	448	154
744	448	153
745	448	152
746	449	152
747	449	151
748	450	150
749	450	150
750	451	149
751	451	149
752	452	148
753	452	147
754	453	147
755	453	146
756	454	145
757	454	145
758	454	144
759	455	143
760	455	143
761	456	142
762	456	141
763	457	141
764	457	140
765	458	139
766	458	139
767	458	138
768	459	138
769	459	137
770	460	136
771	460	136
772	461	135
773	461	134
774	462	134
775	462	133
776	463	132
777	463	132
778	463	131
779	464	130
780	464	130
781	465	129
782	465	129
783	466	128
784	466	127
785	467	127
786	467	126
787	468	125
788	468	125
789	468	124
790	469	123
791	469	123
792	470	122
793	470	122
794	471	121
795	471	120
796	471	120
797	472	119
798	472	118
799	473	118
800	473	117
801	474	117
802	474	116
803	475	115
804	475	115
805	476	114
806	476	113
807	476	113
808	477	112
809	477	112
810	478	111
811	478	110
812	479	110
813	479	109
814	480	109
815	480	108
816	481	107
817	481	107
818	482	106
819	482	105
820	483	105
821	483	104
822	484	104
823	484	103
824	484	102
825	485	102
826	485	101
827	486	101
828	486	100
829	487	99
830	487	99
831	488	98
832	488	97
833	489	97
834	489	96
835	490	96
836	490	95
837	490	94
838	491	94
839	491	93
840	492	93
841	492	92
842	493	91
843	493	91
844	494	90
845	494	90
846	495	89
847	495	88
848	496	88
849	496	87
850	496	87
851	497	86
852	497	85
853	498	85
854	498	84
855	499	83
856	499	83
857	500	82
858	500	82
859	501	81
860	502	81
861	502	80
862	503	79
863	503	79
864	504	78
865	504	78
866	505	77
867	505	76
868	506	76
869	506	75
870	507	75
871	507	74
872	508	73
873	508	73
874	509	72
875	510	72
876	510	71
877	511	71
878	511	70
879	511	69
880	512	69
881	512	68
882	513	68
883	513	67
884	514	66
885	514	66
886	515	65
887	515	65
888	516	64
889	516	63
890	517	63
891	518	62
892	518	62
893	519	61
894	519	60
895	520	60
896	520	59
897	521	59
898	521	58
899	522	58
900	522	57
901	523	56
902	523	56
903	524	55
904	525	55
905	525	54
906	526	53
907	526	53
908	527	52
909	527	52
910	528	51
911	528	51
912	529	50
913	529	49
914	530	49
915	530	48
916	531	48
917	531	47
918	532	46
919	532	46
920	533	45
921	533	45
922	534	44
923	534	43
924	534	43
925	535	42
926	535	42
927	536	41
928	536	41
929	537	40
930	537	39
931	538	39
932	538	38
933	539	38
934	539	37
935	540	36
936	540	36
937	541	35
938	541	35
939	541	34
940	542	34
941	542	33
942	543	32
943	543	32
944	544	31
945	544	31
946	545	30
947	545	29
948	546	29
949	546	28
950	547	28
951	547	27
952	547	27
953	548	26
954	548	25
955	549	25
956	549	24
957	550	24
958	550	23
959	551	22
960	551	22
961	551	21
962	552	21
963	552	20
964	553	20
965	553	19
966	554	18
967	554	18
968	555	17
969	555	17
970	556	16
971	556	16
972	556	15
973	557	14
974	557	14
975	558	13
976	558	13
977	559	12
978	559	12
979	560	11
980	560	10
981	561	10
982	561	9
983	562	9
984	562	8
985	563	7
986	563	7
987	563	6
988	564	6
989	564	5
990	565	5
991	565	4
992	566	3
993	566	3
994	567	2
995	568	2
996	568	1
997	568	1
998	569	0
999	569	0
